stateabb,ccode,cinc
AAB,58,2.74E-06
AFG,700,0.001255717
ALB,339,0.00052985
ALG,615,0.004066098
AND,232,0
ANG,540,0.001150265
ARG,160,0.00562973
ARM,371,0
AUH,300,0
AUL,900,0.006884147
AUS,305,0.002630645
AZE,373,0
BAH,692,0.000423411
BAR,53,2.29E-05
BEL,211,0.004972618
BEN,434,0.000310523
BFO,439,0.000479928
BHM,31,3.49E-05
BHU,760,9.50E-05
BLR,370,0
BLZ,80,1.55E-05
BNG,771,0.00582472
BOL,145,0.000769669
BOS,346,0
BOT,571,9.72E-05
BRA,140,0.025667883
BRU,835,9.59E-05
BUI,516,0.000267292
BUL,355,0.003650102
CAM,811,0.00086959
CAN,20,0.011249618
CAO,471,0.000742824
CAP,402,4.22E-05
CDI,437,0.000866407
CEN,482,0.000210282
CHA,483,0.000435976
CHL,155,0.002709902
CHN,710,0.11158291
COL,100,0.0041466
COM,581,2.24E-05
CON,484,0.000333419
COS,94,0.000237146
CRO,344,0
CUB,40,0.003281339
CYP,352,0.000177679
CZE,315,0.00829922
CZR,316,0
DEN,390,0.001309406
DJI,522,8.34E-05
DMA,54,2.47E-06
DOM,42,0.000716816
DRC,490,0.002551302
DRV,816,0.0129712
ECU,130,0.001279343
EGY,651,0.008391913
EQG,411,5.24E-05
ERI,531,0
EST,366,0
ETH,530,0.003910797
ETM,860,0
FIJ,950,6.91E-05
FIN,375,0.001815822
FRN,220,0.018743817
FSM,987,0
GAB,481,0.000158117
GAM,420,3.46E-05
GDR,265,0.009111403
GFR,260,0.025921192
GHA,452,0.00083931
GMY,255,0
GNB,404,0.000120965
GRC,350,0.003008235
GRG,372,0
GRN,55,4.01E-06
GUA,90,0.000753782
GUI,438,0.000506117
GUY,110,7.65E-05
HAI,41,0.000393202
HON,91,0.000491089
HUN,310,0.003388626
ICE,395,3.44E-05
IND,750,0.057612028
INS,850,0.01276335
IRE,205,0.000544177
IRN,630,0.009191244
IRQ,645,0.010586773
ISR,666,0.002668593
ITA,325,0.017384006
JAM,51,0.000147066
JOR,663,0.001100103
JPN,740,0.049140621
KEN,501,0.001364867
KIR,946,0
KOR,730,0
KOS,347,0
KUW,690,0.001308454
KYR,703,0
KZK,705,0
LAO,812,0.000633636
LAT,367,0
LBR,450,0.000193623
LEB,660,0.000519937
LES,570,8.90E-05
LIB,620,0.001639652
LIE,223,0
LIT,368,0
LUX,212,0.000799377
MAA,435,0.000221461
MAC,343,0
MAD,781,6.63E-06
MAG,580,0.000651776
MAL,820,0.002048918
MAS,590,7.10E-05
MAW,553,0.000399565
MEX,70,0.011981433
MLD,359,0
MLI,432,0.000429735
MLT,338,2.57E-05
MNC,221,0
MNG,341,0
MON,712,0.000428116
MOR,600,0.003415831
MSI,983,0
MYA,775,0.003403762
MZM,541,0.001187897
NAM,565,0
NAU,970,0
NEP,790,0.00084867
NEW,920,0.000739465
NIC,93,0.00076693
NIG,475,0.006393508
NIR,436,0.000363197
NOR,385,0.001611136
NTH,210,0.005931763
OMA,698,0.000579318
PAK,770,0.00998636
PAL,986,0
PAN,95,0.000300577
PAR,150,0.000330208
PER,135,0.003598523
PHI,840,0.004976294
PNG,910,0.000190274
POL,290,0.013801027
POR,235,0.001714444
PRK,731,0.009844134
QAT,694,0.000393327
ROK,732,0.015876707
ROM,360,0.008376786
RUS,365,0.17318098
RVN,817,0
RWA,517,0.000306564
SAF,560,0.008201093
SAL,92,0.000682823
SAU,670,0.007108989
SEN,433,0.000626447
SEY,591,1.06E-05
SIE,451,0.000248463
SIN,830,0.001707934
SKN,60,1.82E-06
SLO,317,0
SLU,56,4.87E-06
SLV,349,0
SNM,331,0
SOL,940,1.03E-05
SOM,520,0.000703143
SPN,230,0.010433082
SRI,780,0.001047577
SSD,626,0
STP,403,1.18E-05
SUD,625,0.001864925
SUR,115,7.62E-05
SVG,57,4.09E-06
SWA,572,5.09E-05
SWD,380,0.003583954
SWZ,225,0.001460357
SYR,652,0.004211875
TAJ,702,0
TAW,713,0.007220407
TAZ,510,0.001481073
THI,800,0.005315463
TKM,701,0
TOG,461,0.000233395
TON,955,0
TRI,52,0.000275861
TUN,616,0.000818206
TUR,640,0.012878163
TUV,947,0
UAE,696,0.001264012
UGA,500,0.000828426
UKG,200,0.024666367
UKR,369,0
URU,165,0.000527653
USA,2,0.13402958
UZB,704,0
VAN,935,4.97E-06
VEN,101,0.004377776
WSM,990,5.66E-06
YAR,678,0.000662122
YEM,679,0
YPR,680,0.000461939
YUG,345,0.005045109
ZAM,551,0.000737303
ZAN,511,0
ZIM,552,0.001109315
