stateabb,ccode
AAB,58
AFG,700
ALB,339
ALG,615
AND,232
ANG,540
ARG,160
ARM,371
AUH,300
AUL,900
AUS,305
AZE,373
BAH,692
BAR,53
BEL,211
BEN,434
BFO,439
BHM,31
BHU,760
BLR,370
BLZ,80
BNG,771
BOL,145
BOS,346
BOT,571
BRA,140
BRU,835
BUI,516
BUL,355
CAM,811
CAN,20
CAO,471
CAP,402
CDI,437
CEN,482
CHA,483
CHL,155
CHN,710
COL,100
COM,581
CON,484
COS,94
CRO,344
CUB,40
CYP,352
CZE,315
CZR,316
DEN,390
DJI,522
DMA,54
DOM,42
DRC,490
DRV,816
ECU,130
EGY,651
EQG,411
ERI,531
EST,366
ETH,530
ETM,860
FIJ,950
FIN,375
FRN,220
FSM,987
GAB,481
GAM,420
GDR,265
GFR,260
GHA,452
GMY,255
GNB,404
GRC,350
GRG,372
GRN,55
GUA,90
GUI,438
GUY,110
HAI,41
HON,91
HUN,310
ICE,395
IND,750
INS,850
IRE,205
IRN,630
IRQ,645
ISR,666
ITA,325
JAM,51
JOR,663
JPN,740
KEN,501
KIR,946
KOR,730
KOS,347
KUW,690
KYR,703
KZK,705
LAO,812
LAT,367
LBR,450
LEB,660
LES,570
LIB,620
LIE,223
LIT,368
LUX,212
MAA,435
MAC,343
MAD,781
MAG,580
MAL,820
MAS,590
MAW,553
MEX,70
MLD,359
MLI,432
MLT,338
MNC,221
MNG,341
MON,712
MOR,600
MSI,983
MYA,775
MZM,541
NAM,565
NAU,970
NEP,790
NEW,920
NIC,93
NIG,475
NIR,436
NOR,385
NTH,210
OMA,698
PAK,770
PAL,986
PAN,95
PAR,150
PER,135
PHI,840
PNG,910
POL,290
POR,235
PRK,731
QAT,694
ROK,732
ROM,360
RUS,365
RVN,817
RWA,517
SAF,560
SAL,92
SAU,670
SEN,433
SEY,591
SIE,451
SIN,830
SKN,60
SLO,317
SLU,56
SLV,349
SNM,331
SOL,940
SOM,520
SPN,230
SRI,780
SSD,626
STP,403
SUD,625
SUR,115
SVG,57
SWA,572
SWD,380
SWZ,225
SYR,652
TAJ,702
TAW,713
TAZ,510
THI,800
TKM,701
TOG,461
TON,955
TRI,52
TUN,616
TUR,640
TUV,947
UAE,696
UGA,500
UKG,200
UKR,369
URU,165
USA,2
UZB,704
VAN,935
VEN,101
WSM,990
YAR,678
YEM,679
YPR,680
YUG,345
ZAM,551
ZAN,511
ZIM,552
