stateabb,ccode,dem,cinc
AAB,58,0,2.59E-06
AFG,700,0,0.001372832
ALB,339,0,0.000613459
ALG,615,0,0.004021239
AND,232,0,0
ANG,540,0,0.001810324
ARG,160,1,0.005669623
ARM,371,1,0.000488908
AUH,300,0,0
AUL,900,1,0.007675363
AUS,305,1,0.002605565
AZE,373,0,0.001339911
BAH,692,0,0.000477151
BAR,53,0,1.63731E-05
BEL,211,1,0.005132292
BEN,434,1,0.00036324
BFO,439,0,0.000543012
BHM,31,0,4.44043E-05
BHU,760,0,0.000122336
BLR,370,1,0.002916586
BLZ,80,0,1.76348E-05
BNG,771,1,0.006146408
BOL,145,1,0.000848136
BOS,346,0,0.00094939
BOT,571,1,0.000150585
BRA,140,1,0.024985543
BRU,835,0,0.000160745
BUI,516,0,0.00038862
BUL,355,1,0.002320412
CAM,811,0,0.00136045
CAN,20,1,0.012016823
CAO,471,0,0.00081249
CAP,402,1,1.90539E-05
CDI,437,0,0.0010242
CEN,482,0,0.00021904
CHA,483,0,0.000588807
CHL,155,1,0.002810646
CHN,710,0,0.1238766
COL,100,1,0.004818515
COM,581,0,2.93891E-05
CON,484,0,0.000353949
COS,94,1,0.000267784
CRO,344,0,0.001280498
CUB,40,0,0.002778769
CYP,352,1,0.000250998
CZE,315,1,0.00463251
CZR,316,0,0
DEN,390,1,0.001656764
DJI,522,0,0.000122754
DMA,54,0,2.31E-06
DOM,42,1,0.000749987
DRC,490,0,0.003440363
DRV,816,0,0.009459459
ECU,130,1,0.001630417
EGY,651,0,0.008784656
EQG,411,0,4.23097E-05
ERI,531,0,0
EST,366,1,0.000186378
ETH,530,0,0.003194175
ETM,860,0,0
FIJ,950,0,8.97517E-05
FIN,375,1,0.002155075
FRN,220,1,0.021658897
FSM,987,0,4.21E-06
GAB,481,0,0.000183155
GAM,420,1,4.30279E-05
GDR,265,0,0
GFR,260,0,0
GHA,452,0,0.000890849
GMY,255,1,0.031551082
GNB,404,0,0.000156337
GRC,350,1,0.003781837
GRG,372,0,0.001011793
GRN,55,0,3.53E-06
GUA,90,0,0.000844889
GUI,438,0,0.000499474
GUY,110,1,6.74245E-05
HAI,41,0,0.000455384
HON,91,1,0.000513684
HUN,310,1,0.002262017
ICE,395,0,4.55263E-05
IND,750,1,0.063338302
INS,850,0,0.013855553
IRE,205,1,0.000614935
IRN,630,0,0.010682541
IRQ,645,0,0.006130928
ISR,666,1,0.003531007
ITA,325,1,0.019859005
JAM,51,1,0.000155531
JOR,663,0,0.001238505
JPN,740,1,0.054193649
KEN,501,0,0.001402612
KIR,946,0,0
KOR,730,0,0
KOS,347,0,0
KUW,690,0,0.006921227
KYR,703,0,0.000407656
KZK,705,0,0.005005279
LAO,812,0,0.000482248
LAT,367,1,0.000396251
LBR,450,0,0.000194159
LEB,660,0,0.000501578
LES,570,0,0.000103689
LIB,620,0,0.002255729
LIE,223,0,1.11E-06
LIT,368,1,0.000568382
LUX,212,1,0.000777262
MAA,435,0,0.000249519
MAC,343,1,0
MAD,781,0,7.20E-06
MAG,580,1,0.000694546
MAL,820,0,0.003195149
MAS,590,1,6.91554E-05
MAW,553,0,0.000472208
MEX,70,0,0.012785946
MLD,359,0,0.000698187
MLI,432,1,0.000512027
MLT,338,0,3.5415E-05
MNC,221,0,0
MNG,341,0,0
MON,712,1,0.000401963
MOR,600,0,0.003626385
MSI,983,0,1.64E-06
MYA,775,0,0.004372631
MZM,541,0,0.001173468
NAM,565,1,0.000131462
NAU,970,0,0
NEP,790,0,0.000922738
NEW,920,1,0.000928345
NIC,93,1,0.00043011
NIG,475,0,0.006360788
NIR,436,1,0.000414035
NOR,385,1,0.001920623
NTH,210,1,0.006671496
OMA,698,0,0.000810449
PAK,770,1,0.01195369
PAL,986,0,0
PAN,95,1,0.000307102
PAR,150,1,0.000386468
PER,135,0,0.003351059
PHI,840,1,0.005196602
PNG,910,0,0.00021065
POL,290,1,0.009572887
POR,235,1,0.001864743
PRK,731,0,0.013972417
QAT,694,0,0.00062637
ROK,732,1,0.02196282
ROM,360,0,0.005522252
RUS,365,0,0.067289524
RVN,817,0,0
RWA,517,0,0.000458873
SAF,560,1,0.008060137
SAL,92,1,0.000780635
SAU,670,0,0.009565112
SEN,433,0,0.00073581
SEY,591,0,1.24399E-05
SIE,451,0,0.000325205
SIN,830,0,0.002477167
SKN,60,0,2.00E-06
SLO,317,0,0
SLU,56,0,4.50E-06
SLV,349,1,0.000450837
SNM,331,0,2.02E-06
SOL,940,1,1.11611E-05
SOM,520,0,0.000496439
SPN,230,1,0.011005715
SRI,780,0,0.001680292
SSD,626,0,0
STP,403,0,1.29369E-05
SUD,625,0,0.002375275
SUR,115,0,7.39514E-05
SVG,57,0,4.18E-06
SWA,572,0,6.51817E-05
SWD,380,1,0.004075646
SWZ,225,1,0.001821995
SYR,652,0,0.004490376
TAJ,702,0,0.00040701
TAW,713,1,0.009660354
TAZ,510,0,0.001697277
THI,800,1,0.006252807
TKM,701,0,0.000743059
TOG,461,0,0.000295437
TON,955,0,0
TRI,52,1,0.000410516
TUN,616,0,0.00086918
TUR,640,1,0.013638472
TUV,947,0,0
UAE,696,0,0.001688952
UGA,500,0,0.001276222
UKG,200,1,0.027372237
UKR,369,1,0.022758223
URU,165,1,0.000544955
USA,2,1,0.14831357
UZB,704,0,0.003232993
VAN,935,0,4.82E-06
VEN,101,1,0.004445408
WSM,990,0,5.35E-06
YAR,678,0,0
YEM,679,0,0.001350267
YPR,680,0,0
YUG,345,0,0.002330722
ZAM,551,1,0.000907229
ZAN,511,0,0
ZIM,552,0,0.001203041
