stateabb,ccode,dem,cinc
AAB,58,0,3.15E-06
AFG,700,0,0.001580016
ALB,339,1,0.000399164
ALG,615,0,0.003856807
AND,232,0,2.55E-06
ANG,540,0,0.001876911
ARG,160,1,0.00588824
ARM,371,0,0.000709843
AUH,300,0,0
AUL,900,1,0.007516285
AUS,305,1,0.00252298
AZE,373,0,0.001479625
BAH,692,0,0.000475695
BAR,53,0,1.98329E-05
BEL,211,1,0.004696827
BEN,434,1,0.000375358
BFO,439,0,0.000593446
BHM,31,0,2.42451E-05
BHU,760,0,4.83894E-05
BLR,370,0,0.00253383
BLZ,80,0,1.94664E-05
BNG,771,1,0.007022725
BOL,145,1,0.000942795
BOS,346,0,0.000407605
BOT,571,1,0.000180726
BRA,140,1,0.025276328
BRU,835,0,0.000149671
BUI,516,0,0.000638537
BUL,355,1,0.001694761
CAM,811,0,0.001547727
CAN,20,1,0.01154116
CAO,471,0,0.001081267
CAP,402,1,2.20916E-05
CDI,437,0,0.001140717
CEN,482,0,0.000197227
CHA,483,0,0.000590438
CHL,155,1,0.003055882
CHN,710,0,0.15260702
COL,100,1,0.005454891
COM,581,0,2.33643E-05
CON,484,0,0.000433661
COS,94,1,0.000260706
CRO,344,1,0.000871158
CUB,40,0,0.001389264
CYP,352,1,0.000176747
CZE,315,0,0
CZR,316,1,0.002957101
DEN,390,1,0.00136447
DJI,522,0,0.000151278
DMA,54,0,2.00E-06
DOM,42,1,0.000808312
DRC,490,0,0.004151736
DRV,816,0,0.007993224
ECU,130,1,0.001487089
EGY,651,0,0.010105017
EQG,411,0,5.57596E-05
ERI,531,0,0.001602574
EST,366,1,0.000174934
ETH,530,0,0.004550974
ETM,860,1,3.69096E-05
FIJ,950,0,6.42533E-05
FIN,375,1,0.002059009
FRN,220,1,0.019495822
FSM,987,0,1.34637E-05
GAB,481,0,0.000162765
GAM,420,0,8.26107E-05
GDR,265,0,0
GFR,260,0,0
GHA,452,1,0.001057657
GMY,255,1,0.025300475
GNB,404,0,0.000117718
GRC,350,1,0.004068504
GRG,372,0,0.000482471
GRN,55,0,3.00E-06
GUA,90,1,0.000948917
GUI,438,0,0.000518115
GUY,110,1,4.24766E-05
HAI,41,0,0.000559075
HON,91,1,0.000413054
HUN,310,1,0.001730464
ICE,395,0,2.39614E-05
IND,750,1,0.072821088
INS,850,1,0.014940185
IRE,205,1,0.00059906
IRN,630,0,0.013017389
IRQ,645,0,0.006678925
ISR,666,1,0.004232202
ITA,325,1,0.018079424
JAM,51,1,0.000200487
JOR,663,0,0.00134088
JPN,740,1,0.0486104
KEN,501,1,0.001550548
KIR,946,0,2.32E-06
KOR,730,0,0
KOS,347,1,0
KUW,690,0,0.001831583
KYR,703,0,0.000384925
KZK,705,0,0.003392434
LAO,812,0,0.000462488
LAT,367,1,0.000354167
LBR,450,0,0.000331238
LEB,660,0,0.000978778
LES,570,1,7.76537E-05
LIB,620,0,0.001598753
LIE,223,0,1.09E-06
LIT,368,1,0.000471868
LUX,212,1,0.000579884
MAA,435,0,0.00027858
MAC,343,1,0.000325181
MAD,781,0,1.52165E-05
MAG,580,1,0.000805436
MAL,820,0,0.004434118
MAS,590,1,5.31464E-05
MAW,553,0,0.000496496
MEX,70,1,0.015669504
MLD,359,1,0.000371074
MLI,432,1,0.000510212
MLT,338,0,3.62103E-05
MNC,221,0,2.45E-06
MNG,341,0,0
MON,712,1,0.000272703
MOR,600,0,0.003847567
MSI,983,0,1.52E-06
MYA,775,0,0.006736519
MZM,541,0,0.000983696
NAM,565,1,0.000144853
NAU,970,0,3.10E-07
NEP,790,0,0.001198642
NEW,920,1,0.000902309
NIC,93,1,0.00039325
NIG,475,0,0.007772603
NIR,436,0,0.000469439
NOR,385,1,0.001879793
NTH,210,1,0.005413733
OMA,698,0,0.001140407
PAK,770,0,0.013629882
PAL,986,0,7.07E-07
PAN,95,1,0.000269536
PAR,150,1,0.000535085
PER,135,1,0.003211879
PHI,840,1,0.005353271
PNG,910,0,0.000203824
POL,290,1,0.007049579
POR,235,1,0.001967747
PRK,731,0,0.012353008
QAT,694,0,0.001029624
ROK,732,1,0.024181537
ROM,360,1,0.003581253
RUS,365,1,0.049656991
RVN,817,0,0
RWA,517,0,0.00091775
SAF,560,1,0.007892745
SAL,92,1,0.000482077
SAU,670,0,0.010505347
SEN,433,1,0.000626639
SEY,591,0,1.29305E-05
SIE,451,0,0.000325573
SIN,830,0,0.002713715
SKN,60,0,1.59E-06
SLO,317,1,0.001575462
SLU,56,0,4.68E-06
SLV,349,1,0.000328766
SNM,331,0,2.23E-06
SOL,940,0,1.21454E-05
SOM,520,0,0.000630133
SPN,230,1,0.010776401
SRI,780,1,0.002067408
SSD,626,0,0
STP,403,0,6.31E-06
SUD,625,0,0.002493981
SUR,115,0,4.31441E-05
SVG,57,0,3.04E-06
SWA,572,0,5.88518E-05
SWD,380,1,0.003225329
SWZ,225,1,0.00167634
SYR,652,0,0.004213543
TAJ,702,0,0.00033674
TAW,713,1,0.009284007
TAZ,510,0,0.001765134
THI,800,1,0.007331539
TKM,701,0,0.000712802
TOG,461,0,0.000321526
TON,955,0,2.70E-06
TRI,52,1,0.000520318
TUN,616,0,0.000991469
TUR,640,1,0.01434396
TUV,947,0,2.77E-07
UAE,696,0,0.002104558
UGA,500,0,0.001423109
UKG,200,1,0.01929987
UKR,369,1,0.01463169
URU,165,1,0.000534682
USA,2,1,0.15376461
UZB,704,0,0.002883407
VAN,935,0,5.54E-06
VEN,101,1,0.005120115
WSM,990,0,5.14E-06
YAR,678,0,0
YEM,679,0,0.001543876
YPR,680,0,0
YUG,345,0,0.001541339
ZAM,551,0,0.000762285
ZAN,511,0,0
ZIM,552,0,0.001118507
